ProgramID#,Program_Name,Program Description,Program_Sector,Program_Owner,Program_Output,Program_Outcome,Benefit,Strategic Objectives,Bucket,ID_Program_Name,Program Risk,Program metigation,Program_Dependence
EA-1,برنامج تطوير السياسات والإجراءات المتكاملة,يهدف البرنامج الى تطوير سياسات استراتيجية على مستوى وزارة الحرس الوطني واطر عمل وأدلة للسياسات والإجراءات لمختلف إدارات ووكالات الوزارة بما يشمل إجراءات التشغيل القياسية ومما يضمن رفع الشفافية وتقليل الإزدواجية بين وظائف الوزارة.,الشؤون التنفيذية,الشؤون التنفيذية,"إطار عمل لإدارة الإجراءات والعمليات في الوزارة
 دليل شامل وخطة تطوير الإجراءات في الوزارة وأولوياتها
إطار عمل لتطوير السياسات على مستوى الوزارة
خطة لتطوير السياسات الوظيفية
دليل تشغيلي للسياسات والإجراءات والنماذج الخاصة بالإدارة المالية 
آليات عمل واضحة تسهل تنفيذ أنشطة وإجراءات الإدارة المالية
وثيقة الإجراء التشغيلي الموحد المفصل لكل عملية على مستوى إدارات الوزارة
دليل السياسات والإجراءات لوكالة الشؤون الهندسية والمرافق
قائمة للسياسات المؤسسية 
تطوير سياسات استراتيجية على مستوى الوزارة
دليل السياسات والإجراءات للإدارة العامة للموارد البشرية ","رفع مستوى الشفافية
رفع مستوى الكفاءة التشغيلية في وكالة الشؤون الهندسية ووكالة خدمات الدعم المؤسسي بنسبة (x)*",استدامة واستمرارية أعمال الوزارة بشكل مؤسسي,بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,فعالية العمليات وزيادة الإنتاجية,EA-1_برنامج تطوير السياسات والإجراءات المتكاملة,"بسبب اعتماد كثير من المبادرات على هذا البرنامج, هنالك خطر يتمثل في عدم القدرة على البدء في تنفيذ المبادرات المعتمدة عليه حسب المخطط له مما يؤثر على إنجاز مخرجات خطة التحول بالوقت المحدد والجودة المطلوبة
بسبب أهمية دور أصحاب المصلحة في تنفيذ السياسات والإجراءات هنالك خطر في عدم تبني السياسات والإجراءات المستحدثة مما يؤثر على الإلتزام الكامل في تطبيق دليل السياسات والإجراءات المستحدث
بسبب اختلاف طبيعة قطاعات الوزارة ( المدني، والعسكري، والصحي) هناك خطر يتمثل من عدم شمولية السياسات الاستراتيجية وتكاملها بين القطاعات مما يؤثر على الكفاءة التشغيلية والمواءمة بين القطاعات","العمل على تحديد الاعتماديات المرتبطة بالمخرجات ومتابعة سير الإنجاز والمخرجات حسب المدة الزمنية المخطط لها وموائمة ذلك مع المبادرات ذات العلاقة وضمان تسليم المخرجات في الوقت المحدد
العمل على تضمين أصحاب المصلحة في المراحل الأولى من بناء السياسات والإجراءات وعمل ورش العمل لرفع ارتباط أصحاب المصلحة
العمل على تحديد أولويات القطاعات وعقد ورش عمل واجتماعات مواءمة مع قادة القطاعات لضمان التكامل والتنسيق","EA-2,EA-1"
EA-10,برنامج تحقيق التميز المؤسسي,يهدف البرنامج إلى مراجعة وتكامل تصميم النموذج التشغيلي لإدارات الوزارة من خلال تقييم كفاءة الإجراءات الحالية وتفعيل دور شراكات الأعمال مما يسهم في رفع التنمية المؤسسية وتحسين أداء الوزارة,الشؤون التنفيذية,الشؤون التنفيذية,"تحليل وتقييم جميع إجراءات وزارة الحرس الوطني
تطوير آلية لتقييم كفاءة الإجراءات
قائمة بأولويات الإجراءات المتطلب تحسينها
إجراءات وظيفية محسنة
ببرامج نقل المعرفة
إطار عمل برنامج التحسين المستمر وخطة التنفيذ 
آلية لمتابعة أداء البرنامج
مراجعة النماذج التشغيلية للوزارة
تحديد قائمة بالمخرجات والمنجزات المسلمة
تحديد قائمة بإحتياجات الموارد في الوزارة
تحديث النماذج التشغيلية للوزارة
دليل التنفيذ لشراكات الأعمال لكل مجال وظيفي
السياسات والإجراءات
التوجيه والتدريب اللازم للتفعيل
برامج تجريبية",حصول الوزارة على إعتمادات وشهادات عالمية في التميز المؤسسي,استدامة واستمرارية أعمال الوزارة بشكل مؤسسي,بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,EA-10_برنامج تحقيق التميز المؤسسي,"بسبب كثرة أصحاب المصلحة هناك خطر متمثل في إحتمالية قلة التعاون من أصحاب المصلحة بتقديم الملاحظات والآراء مما قد يؤثر على جودة وكفاءة الإجراءات والمخرجات
بسبب عدم مشاركة ذوي العلاقة في تنفيذ برنامج تحقيق التميز المؤسسي
هناك خطر متمثل في عدم فهم أصحاب المصلحة لوظائف وأهداف البرنامج مما قد يؤثر على إطار العمل وخطة تنفيذ البرنامج
بسبب التداخل بين مهام الإدارات بالوزارة هناك خطر متعلق بالقدرة على تصميم جميع العناصر بطريقة متزامنة مما قد يؤثر على تفعيل النموذج التشغيلي المستهدف بالشكل الصحيح
بسبب تطوير شراكات الاعمال مرحلة تنفيذ المبادرة هناك خطر متمثل بالإخلال في عمل خدمات الدعم المؤسسي خلال الفترة الإنتقالية مما قد يؤثر على ضمان استمرارية الاعمال خلال فترة التحول ","تحفيز أصحاب المصلحة الرئيسيين من خلال تحديد كفاءة الإجراءات كمعيار نجاح للتقييم الشخصي
إشراك الوظائف في وقت مبكر وتحديد مؤشرات الأداء الرئيسة وأهداف محددة للبرنامج
تطوير نموذج تفاعلي بين الإدارات في وزارة الحرس الوطني 
وضع خطة مؤقتة تحدد متطلبات العمليات المستمرة خلال فترة التحول ","EA-1,EA-21"
EA-11,برنامج رفع كفاءة التحليل الاستراتيجي للوزارة والمواءمة مع منظومة الأمن والدفاع,يهدف البرنامج إلى تطوير قدرات التحليل الإستخباراتي الاستراتيجي على مستوى منظومة وزارة الحرس الوطني والمساهمة في الموائمة مع منظومة الأمن والدفاع لتمكين تحديد الأولويات الاستراتيجية مما يحقق زيادة في سرعة الإستجابة للتهديدات الأمنية,الشؤون التنفيذية,الشؤون التنفيذية,"تطوير آليات وإجراءات العمل لتطوير الخطة السنوية للتحليل الاستراتيجي
الدليل التشغيلي لسياسات وإجراءات التحليل الاستراتيجي
تطوير النماذج الخاصة بالتحليل الاستراتيجي
الإطلاق (التجريبي) للخطة السنوية للتحليل الاستراتيجي
-تقدير الموارد المطلوبة لتقديم النتائج المعلوماتية التحليلية
الإنجازات والتقارير الهامة 
إجراءات التشغيل الموحدة 
نماذج وقوالب ووثائق
القدرات التحليلية
قائمة في البيانات التي سيتم مشاركتها ونوعها
آلية وطرق مشاركة البيانات
مذكرات تفاهم مع وزارة الداخلية ووزارة الدفاع وأصحاب المصلحة المعنيين","تفعيل إدارة التحليل الاستراتيجي
مضاعفة المعلومات الإستخباراتية للحرس بثلاث مرات
زيادة المقدرة على جمع المعلومات الإستخباراتية بخمس أضعاف","زيادة سرعة الاستجابة للتهديدات الأمنية من خلال إطلاع القيادة على المعلومات التحليلية في الوقت المناسب
تعزيز الاستجابة المشتركة للمنظومة",بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,فاعلية اتخاذ القرار,EA-11_برنامج رفع كفاءة التحليل الاستراتيجي للوزارة والمواءمة مع منظومة الأمن والدفاع,"بسبب عدم وضوح المخرجات والأدوار والوظائف المطلوبة في إعداد التقارير التحليلية هناك خطر أنه قد لا يتم تعيين الموظفين في الوقت المحدد مما قد يؤثر على تسليم النتائج وفقاً للخطة السنوية
بسبب عدم وجود وحدة لمتابعة وتدقيق تقارير التحليل الاستراتيجي هناك خطر في عدم توافق المنتج والتقارير المفاجئة بدون تخطيط لمتطلبات سمو الوزير مما قد يؤثر على إطلاع الوزير بالتهديدات الأمنية الراهنة وتمكين آلية إتخاذ القرار
بسبب تفعيل أدوات تحليلية وإحصائية جديدة هناك خطر متمثل في عدم توفر التدريب المناسب لتمكين استخدام أدوات التحليل الإستباقي مما قد يؤثر على تطوير التقارير والنتائج لسمو الوزير 
بسبب تعدد وإختلاف طبيعة الأعمال لدى منظومة الدفاع والامن هناك خطر متمثل في عدم المواءمة بين متطلبات وزارة الحرس الوطني والمتطلبات المذكورة في مذكرة التفاهم مما قد يؤثر على جودة المخرجات من هذا البرنامج","التواصل مع الجهات المعنية لمنظومة الدفاع والأمن لتحديد وجمع المعلومات الاستخباراتية اللازمة لإعداد التقارير
مواءمة التقارير مع متطلبات سمو الوزير ووجود وحدة لمتابعة التدقيق على التقارير
الحرص على تعيين المدربين المختصين بالأدوات التحليلية
إشراك أصحاب المصلحة الرئيسيين بما في ذلك استشاريين خارجيين لصياغة مذكرات تفاهم قوية تركز على متطلبات وزارة الحرس الوطني وإمتثالها قانونيا","EA-11,EA-1"
EA-12,برنامج تطوير البنية التحتية لمراكز البيانات والتطبيقات,يهدف البرنامج إلى تحليل وتحديث وتطوير البنية التحتية لمراكز البيانات والتطبيقات وإدارتها مركزياً على مستوى وزارة الحرس الوطني مما يحقق تخفيض الإنفاق وزيادة الكفاءة الوظيفية لأنشطة الوزارة.,الشؤون التنفيذية,الشؤون التنفيذية,"تنفيذ منصة تخطيط موارد المؤسسات متكاملة وموحدة
دراسة جدوى لتحليل وتحديد موقع المركز
إنشاء مركز التعافي ونقل التطبيقات
تطوير بنية مؤسسية لوزارة الحرس الوطني على الخمس مستويات
تنفيذ عملية الدمج والتحديث بعد الموائمة مع الجهات ذات العلاقة
منهجية التحول نحو البنية التحتية كخدمة laaS",رفع كفاءة أصول تقنية المعلومات والبنية التحتية بنسبة (x)*,"تخفيض يصل إلى 1.6 مليار ريال سعودي في الإنفاق على تقنية المعلومات والاتصالات وما يصل إلى 3 مليارات ريال سعودي في الوفورات غير المباشرة
زيادة الكفاءة بنسبة (X)* لمختلف الأنشطة الوظيفية الرئيسية في الوزارة",بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,فعالية العمليات وزيادة الإنتاجية,EA-12_برنامج تطوير البنية التحتية لمراكز البيانات والتطبيقات,"بسبب عدم كفاءة التدريب للموظفين على الأدوات أو الإجراءات الجديدة في السياسات أو الاستراتيجيات المستحدثة هنالك خطر يتمثل في كثرة التعثرات التشغيلية مما يسبب مشاكل تقنية وضعف في جودة النتائج 
بسبب عدم دراسة متطلبات دمج الأنظمة والبنية التحتية هناك خطر متعلق بحدوث مشاكل وإنقطاعات الخدمة مما يؤثر على خدمات الوزارة التقنية
بسبب تصنيف الأصول بشكل غير مناسب هناك خطر متعلق بعدم إمكانية إستضافة الخدمات على البنية التحتية كخدمة Iaas مما يؤثر على خطط الوزارة حيال تبني خدمات IaaS","التدريب الشامل للموظفين والتنفيذ المرحلي.
دراسة الانظمة بشكل كامل ومعرفة الانظمة القابلة للتكامل (INTEGREATION)  وتحليل وتقييم الوضع الحالي بشكل أكبر من خلال زيارة المراكز وتوثيق البيانات
التأكد من أن التصنيف متوافق تمامًا مع إرشادات مكتب إدارة البيانات الوطني ومكتب إدارة البيانات بوزارة الحرس الوطني","EA-19,EA-14,EA-18,EA-17"
EA-13,برنامج التحول الرقمي,يهدف البرنامج إلى تعزيز التحول الرقمي في وزارة الحرس الوطني من خلال أتمتة عمليات وإجراءات الوزارة وبتبني التقنيات التي تساهم في نجاح عمليات الأتمتة مما يحقق تخفيض الإنفاق وزيادة الكفاءة الوظيفية لأنشطة الوزارة.,الشؤون التنفيذية,الشؤون التنفيذية,"بناء الدليل النشط “Active Directory"" الجديد ودمج كيانات وزارة الحرس الوطني
نقل الخدمات والتطبيقات التجريبية والإضافية إلى سحابة SaaS
 أتمتة جميع عمليات وزارة الحرس الوطني
تطوير منصة موحدة لجميع عمليات وزارة الحرس الوطني
إنشاء منصه للتعليم الإلكتروني
تحويل المناهج التقليدية إلى إلكترونية","رفع الكفاءة التشغيلية للبنية التحتية التقنية من خلال ترشيد أكثر من 150 أداة متناثرة ومكررة
زيادة الكفاءة بنسبة 34٪ في الأنشطة الإدارية ","تخفيض يصل إلى 1.6 مليار ريال سعودي في الإنفاق على تقنية المعلومات والاتصالات وما يصل إلى 3 مليارات ريال سعودي في الوفورات غير المباشرة
زيادة الكفاءة بنسبة (X)* لمختلف الأنشطة الوظيفية الرئيسية في الوزارة",بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,"فعالية العمليات وزيادة الإنتاجية
رفع كفاءة الإنفاق",EA-13_برنامج التحول الرقمي,"بسبب تصنيف الأنظمة والبرامج بشكل غير مناسب هناك خطر متعلق بفشل تبني تقنية البرمجيات كخدمة (SaaS)  مما يؤثر على فاعلية تطبيقات الوزارة
بسبب عملية نقل إستضافة التطبيقات إلى SaaS هناك خطر متعلق بإنقطاع الخدمة وتأثر العمل اليومي  مما يؤثر على خدمات الوزارة التقنية
بسبب إختيار منصة جمع التطبيقات الخطأ هناك خطر متعلق بعدم إمكانية جمع التطبيقات في منصة واحدة مما يؤثر على تحول الوزارة نحو التحول الرقمي 
بسبب إختيار المنصة التعليمية الخطأ هنالك خطر متعلق بضعف جودة المنصة التعليمية مما يؤدي الى ضعف العملية التعليمية","التأكد من أن التصنيف وفق معايير واضحة ومتوافق تمامًا مع إرشادات مكتب إدارة البيانات الوطني ومكتب إدارة البيانات بوزارة الحرس الوطني
وضع خطة تحول واضحة وقابلة للتنفيذ وتحديد اعتمادية التطبيقات على بعض و مدى تأثيرها على  العمل اليومي و معرفة أوقات التحديث 
الحرص على إختيار المنصة الأمثل للأتمتة
الحرص على اختيار المنصة الامثل والمتابعة والتحسين المستمر لجودة خدمات المنصة ","EA-1,EA-13,EA-14,EA-12,EA-19"
EA-14,برنامج رفع كفاءة الخدمات الرقمية والتقنية,يهدف البرنامج إلى تفعيل وكالة الخدمات الرقمية والتقنية وتنظيم وحوكمة الإتصالات وتقنية المعلومات في وزارة الحرس الوطني مما يحقق تخفيض الإنفاق وزيادة الكفاءة الوظيفية لأنشطة الوزارة.,الشؤون التنفيذية,الشؤون التنفيذية,"إنشاء إطار عمل إدارة البائعين وتحديث عمليات الشراء بناءً عليه
تفعيل الإدارات الرئيسة لوكالة الخدمات الرقمية والتقنية
تفعيل الإجراءات والسياسات داخل الإدارات بشكل كامل
تفعيل حوكمة اللجان
تفعيل كامل لحوكمة الإتصالات وتقنية
تفصيل وتطوير نموذج تقديم خدمات الإتصالات وتقنية المعلومات 
تفعيل جميع خدمات الإتصالات وتقنية المعلومات على مستوى وحدة التنفيذ
تحديد ومواءمة خدمات الإتصالات وتقنية المعلومات عبر وحدات الإتصالات وتقنية المعلومات
إتفاقيات مستوى الخدمة المحددة
إطلاق الخدمات على بوابة خدمات الإتصالات وتقنية المعلومات
تنفيذ لوحات المعلومات لقياس الرضا عن الخدمة والإلتزام بإتفاقية مستوى الخدمة
تطوير وتوثيق استراتيجية الإبتكار الرقمي على مستوى وزارة الحرس الوطني
تفعيل خدمات ذكاء الأعمال على مستوى وزارة الحرس الوطني
تحديد مواضيع ومجالات وأصحاب المصلحة المحليين والدوليين 
إعداد وتفصيل إطارات عمل التعاون والشراكات ودراسة آلية التواصل مع أصحاب المصلحة 
تحديث السياسات والأطر الحالية
إنشاء سياسات وأطر عمل جديدة",تفعيل الخدمات الرقمية والتقنية بنسبة (x)*,"تخفيض يصل إلى 1.6 مليار ريال سعودي في الإنفاق على تقنية المعلومات والاتصالات وما يصل إلى 3 مليارات ريال سعودي في الوفورات غير المباشرة
زيادة الكفاءة بنسبة (X)* لمختلف الأنشطة الوظيفية الرئيسية في الوزارة",بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,"فعالية العمليات وزيادة الإنتاجية
رفع كفاءة الإنفاق",EA-14_برنامج رفع كفاءة الخدمات الرقمية والتقنية,"بسبب نقص الموظفين المهرة بفريق العمل في قسم الخدمات الرقمية والتقنية هناك خطر متعلق بعدم تفعيل وكالة الخدمات الرقمية والتقنية بشكل فعال مما يؤثر على بقية المبادرات المتعلقة بتفعيل الادارة
بسبب عدم مشاركة أصحاب العلاقة هنالك خطر متعلق بعدم تفعيل لجان الحوكمة والإدرات والخدمات بالشكل الأمثل مما يؤثر على جميع المبادرات المتعلقة بمشاركة أصحاب المصلحة
بسبب التغييرات بهياكل وصلاحيات وأدوار تقنية المعلومات هناك خطر متعلق بمقاومة التغيير من الجهات مما يؤدي إلى فشل تنفيذ المبادرات","تنفيذ خطة توظيف للمواهب بمجال الرقمية (المذكورة في المبادرة 4.2)
تعزيز دور ادارة التغيير في رفع الوعي لدى اصحاب المصلحة 
تعزيز دور ادارة التغيير في رفع الوعي لدى اصحاب المصلحة ","EA-14,EA-18,EA-15"
EA-15,برنامج رفع كفاءة إدارة وحوكمة البيانات,يهدف البرنامج إلى وضع المعايير والمبادئ التوجيهية والإجراءات الخاصة بحوكمة البيانات على مستوى وزارة الحرس الوطني وتوفير التقنيات والبنية التحتية اللازمة لذلك مما يحقق تخفيض الإنفاق وزيادة الكفاءة الوظيفية لأنشطة الوزارة.,الشؤون التنفيذية,الشؤون التنفيذية,"تعريف وتحديد فئات البيانات على مستوى الوزارة
منصة موحدة ومتكاملة تجمع البيانات
تصميم للبنية التحتية لإدارة البيانات وتحديد المتطلبات التقنية لها
معايير ومبادئ وإجراءات تشغيلية لإدارة البيانات",رفع سهولة الوصول للمعلومات من خلال بيانات مصنفة ومحوكمة ومركزية بنسبة (x)*,"تخفيض يصل إلى 1.6 مليار ريال سعودي في الإنفاق على تقنية المعلومات والاتصالات وما يصل إلى 3 مليارات ريال سعودي في الوفورات غير المباشرة
زيادة الكفاءة بنسبة (X)* لمختلف الأنشطة الوظيفية الرئيسية في الوزارة",بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,"فعالية العمليات وزيادة الإنتاجية
رفع كفاءة الإنفاق",EA-15_برنامج رفع كفاءة إدارة وحوكمة البيانات,بسبب عدم مشاركة أصحاب المصلحة الرئيسيين هناك خطر متعلق بعدم نجاح تعريف النموذج الموحد للبيانات مما يؤثر على كافة المبادرات والبرامج  المتعلقة بنموذج البيانات الموحد,تعزيز دور ادارة التغيير في رفع الوعي لدى اصحاب المصلحة ,"EA-1,EA-15,EA-14"
EA-16,برنامج تطوير قدرات الاتصالات العسكرية,يهدف البرنامج إلى فهم وتقييم وتحديث أنظمة الإتصالات وتقنية المعلومات العسكرية في وزارة الحرس الوطني مما يساهم في زيادة سرعة الإستجابة للتهديدات الأمنية من خلال إطلاع القيادة على المعلومات التحليلية في الوقت المناسب.,الشؤون التنفيذية,الشؤون التنفيذية,"جرد وتحليل مفصل لقدرات الإتصالات وتقنية المعلومات العسكرية
تحديد مستويات التطوير والتحديث المطلوبة للقدرات 
موائمة القدرات التقنية العسكرية مع البنية المؤسسية للوزارة 
بناء المنصة الموحدة للأنظمة التقنية العسكرية للوزارة (تشمل جميع الأنظمة التقنية العسكرية)",تحسين كفاءة الأنظمة وتقنية المعلومات العسكرية بنسبة (x)*,زيادة سرعة الاستجابة للتهديدات الأمنية من خلال إطلاع القيادة على المعلومات التحليلية في الوقت المناسب,بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,رفع مستوى الجاهزية العسكرية,EA-16_برنامج تطوير قدرات الاتصالات العسكرية,"بسبب حجم وتنوع القطاع العسكري هنالك خطر يتمثل بعدم تغطية كافة مجالات القدرات العسكرية وذلك لتحليلها مما يؤثر على تحقيق أهداف البرنامج المتعلقة بدراسة الوضع الراهن
بسبب عدم مشاركة أصحاب العلاقة هنالك خطر متعلق بعدم الحصول على المتطلبات التقنية بشكل كامل مما يؤثر على تحقيق أهداف البرنامج المتعلقة ","انشاء خطة تفصيلية وممنهجة لضمان تغطية كافة مجالات القدرات
تعزيز دور ادارة التغيير في رفع الوعي لدى اصحاب المصلحة ",EA-17
EA-17,برنامج تطوير وإدارة الأصول السيبرانية,يهدف البرنامج إلى ادارة ورفع كفاءة الأصول التقنية الحساسة والغير حساسة والمتعلقة بالأمن السيبراني في وزارة الحرس الوطني من خلال تطوير إطار عمل شامل لإدارة الأصول مما يساهم في حماية بيانات الوزارة والوقاية من الهجمات السيبرانية.,الشؤون التنفيذية,الشؤون التنفيذية,"جرد وتقييم الأصول الحساسة
تقييم مخاطر الأصول الحساسة
خطط المعالجة والتحسين لمخاطر 
تحديد الأصول وتنصيف مستوى حالة المخاطر 
تحديد الثغرات الأمن السبراني 
وضع خطة الإصلاح للإتراقات
تنفيذ خطة إصلاح للإختراقات 
تحديد منتجات الأمن السيبراني
تطوير معايير الترشيد 
مراجعة تفاصيل أصول الأمن السيبراني
تحديد المنتجات المستهدفة للترشيد ووضع الخطط والتنفيذ
تحديد الأصول الغير حساسة وتصنيف مستوى حالة المخاطر 
تحديد الثغرات الأمن السبراني 
وضع خطة الإصلاح للإختراقات 
تنفيذ خطة الإصلاح للإختراقات  
حماية أصول تقنية المعلومات الغير حساسة 
حصر خدمات الأمن السيبراني وتطوير الأطر الأساسية لخدمات الأمن السيبراني 
تحديد الأصول الغير الحساسة وتصنيف مستوى حالة المخاطر 
تحديد الثغرات الأمن السبراني 
وضع خطة الإصلاح للإختراقات
تنفيذ خطة الإصلاح للإختراقات
دليل حصر وتقييم الأصول
حصر الأصول وبناء قاعدة بيانات",رفع مستوى الإلتزام مع منظومة الأمن السيبراني بنسبة (X)*,حماية بيانات الوزارة والوقاية من الهجمات السيبرانية من خلال توفير منظومة أمن سيبراني صلبة ,بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,فعالية العمليات وزيادة الإنتاجية,EA-17_برنامج تطوير وإدارة الأصول السيبرانية,"بسبب عدم مشاركة أصحاب المصلحة في جمع بيانات الاصول هنالك خطر يتمثل بعدم حصر وجرد كافة الاصول مما يؤثر على جودة وكفاءة الاصول السيبرانية
بسبب حجم وتعدد وصعوبة الوصول لبعض مواقع تواجد الاصول هناك خطر يتمثل بتأخر المشروع عن الوقت المخطط له مما يؤثر على تحقيق اهداف المشروع بالوقت المحدد","التأكد من وجود خطة تواصل ونقطة اتصال مخصصة من كل وظيفة عمل والتأكد من المشاركة المستمرة
التأكد من وجود خطة شاملة معدة مسبقاً للجرد تضمن الأخذ بالحسبان محيط المواقع الجغرافية وصعوبة الوصول الى بعض المواقع","EA-18,EA-14,EA-17"
EA-18,برنامج التميز في تقديم خدمات الأمن السيبراني,يهدف البرنامج إلى المواءمة السيبرانية مع التوجة الاستراتيجي للأمن السيبراني لوزارة الحرس الوطني ورفع كفاءة الخدمات السيبرانية المقدمة مما يساهم في حماية بيانات الوزارة والوقاية من الهجمات السيبرانية.,الشؤون التنفيذية,الشؤون التنفيذية,"مواءمة خطط الأمن السيبراني داخل الوزارة مع الخطة العامة للأمن السيبراني وأي تشريعات حكومية
دليل خدمات الأمن السيبراني على مستوى وزارة الحرس الوطني
معايير لتقييم شراكات وزارة الحرس الوطني التقنية
إعداد مذكرات تفاهم
قائمة بالشركاء التقنين المستقبليين
مراجعة السياسات وتحديثها ووضع سياسات جديدة توائم استراتيجية الأمن السيبراني",رفع جودة خدمات الأمن السيبراني بنسبة (X)*,حماية بيانات الوزارة والوقاية من الهجمات السيبرانية من خلال توفير منظومة أمن سيبراني صلبة ,بناء العمل المؤسسي للوصول إلى كفاءة وفاعلية أعلى ,فعالية العمليات وزيادة الإنتاجية,EA-18_برنامج التميز في تقديم خدمات الأمن السيبراني,"بسبب تحديث وتفعيل استراتيجية وهيكل الأمن السيبراني هنالك خطر يتمثل بعدم مشاركة الإدارات بشكل فعال أثناء تحديث الاستراتيجية مما يؤثر على تحقيق المستهدفات الاستراتيجية للأمن السيبراني
بسبب عدم المواءمة بالشكل الكافي مع تشريعات هيئة الأمن السيبراني هنالك خطر يتمثل بتطوير سياسات للأمن السيبراني غير صالحة مما يؤثر على نسبة الإلتزام مع منظومة الأمن السيبراني
بسبب عدم التنسيق مع الإدارات لتخصيص موارد بشرية للتحديث على الاستراتيجيات والسياسات هنالك خطر يتمثل بفشل التحديثات السيبرانية الشاملة مما يؤثر على عدم مواءمة جهات الأمن السيبراني في الوزارة مع التوجه الاستراتيجي","تعزيز دور ادارة التغيير في رفع الوعي لدى اصحاب المصلحة 
وضع اطار عمل قبل البدء بتحديث الاستراتيجية يضمن المواءمة مع الجهات الحكومية ذات العلاقة
ضمان التنسيق مع الادارات ذات العلاقة قبل بدء العمل على التحديثات وتحديد موارد بشرية مخصصة للعمل مع فريق عمل التحديث",EA-14
