Id,name,governance,structure,procedures,resources,outputs,total_percentage,readiness_status
1,الـوزيـــر,0,0,0,0,0,,
2,إدارة الإعلام,1,2,0,2,1,,
3,الإدارة العامة للمراجعة الداخلية,1,1,1,1,0,,
4,الإدارة العامة للشؤون القانونية,0,1,0,1,0,,
5,الإدارة العامة للتحقيق والادعاء العسكري,0,0,0,0,0,,
6,إدارة الاستئناف العسكري,1,1,1,1,0,,
7,مكتب الوزير,0,0,0,0,0,,
8,الإدارة العامة للحوكمة والمخاطر والالتزام,0,0,0,0,0,,
9,مكتب إدارة المشاريع المؤسسي,1,1,1,1,0,,
10,الشؤون التنفيذية,0,0,0,0,0,,
11,الشؤون الصحية,0,0,0,0,0,,
12,رئاسة الجهاز العسكري,0,0,0,0,0,,
13,التحليل الإستراتيجي,0,0,0,0,0,,
14,وكالة الشؤون الدينية,0,1,0,2,1,,
15,وكالة الشؤون الهندسية والمرافق,1,1,1,2,1,,
16,وكالة خدمات الدعم المؤسسي,0,0,0,0,0,,
17,وكالة الخدمات الرقمية والتقنية,0,1,1,2,1,,
18,وكالة المشتريات والتسليح,0,0,0,0,0,,
19,وكالة الشؤون الاستراتيجية والسياسات,0,0,0,0,0,,
20,صحة المستفيدين,0,0,0,0,0,,
21,التميز والجودة السريرية,0,0,0,0,0,,
22,الشؤون الطبية,0,0,0,0,0,,
23,التشغيل,0,0,0,0,0,,
24,الجامعة والأبحاث,0,0,0,0,0,,
25,نائب رئيس الجهاز العسكري,0,0,0,0,0,,
26,ديوان المحاكمات العسكرية,1,1,1,1,1,,
27,هيئة القوى البشرية,0,0,0,0,0,,
28,هيئة الاستخبارات,1,2,1,1,1,,
29,هيئة العمليات,1,1,1,2,1,,
30,هيئة الإمداد والتموين,1,1,2,1,1,,
31,هيئة الخطط,0,0,0,0,0,,
32,هيئة الاتصالات,0,0,0,0,0,,
33,هيئة التعليم والتدريب,1,1,1,1,2,,
34,قيادة التدريب والعقيدة,0,0,1,1,1,,
35,قيادة المناورة,0,0,0,0,0,,
36,قيادة إسناد القتال,0,0,0,0,0,,
37,قيادة خدمات إسناد القتال,0,0,0,0,0,,
38,كلية الملك عبدالله للقيادة والأركان,1,2,1,2,1,,
39,كلية الملك خالد العسكرية,1,2,1,2,1,,
40,إدارة تكامل القدرات,0,0,0,0,0,,
41,قيادة الأفواج,1,1,1,1,1,,
42,القيادة الوسطى,0,0,0,0,0,,
43,القيادة الشرقية,1,1,1,1,1,,
44,القيادة الغربية,1,1,1,1,1,,
45,الإدارة العامة للشؤون الدينية,0,0,0,0,0,,
46,إدارة دعم الشؤون الدينية في القطاعات ,0,0,0,0,0,,
47,إدارة الأراضي والممتلكات,0,0,0,0,0,,
48,الإدارة العامة للتخطيط والبرامج,0,0,0,0,0,,
49,الإدارة العامة للمشاريع,0,0,0,0,0,,
50,الإدارة العامة للتشغيل والصيانة,0,0,0,0,0,,
51,الإدارة العامة للموارد البشرية,1,1,1,1,1,,
52,الإدارة العامة للمالية,1,1,1,1,1,,
53,إدارة المشتريات العامة,1,1,1,1,1,,
54,إدارة العلاقات العامة والمراسم,1,1,1,1,1,,
55,الإدارة العامة للخدمات المشتركة,0,0,0,0,0,,
56,إدارة الشؤون الاجتماعية والثقافية والرياضية ,0,0,0,0,0,,
57,مستودعات الخدمات الإدارية,0,0,0,0,0,,
58,إدارة التخطيط والبرامج والأداء,0,0,0,0,0,,
59,إدارة الابتكارات الرقمية,0,0,0,0,0,,
60,إدارة البنية المؤسسية والمعايير,0,0,0,0,0,,
61,إدارة تطوير التطبيقات,0,0,0,0,0,,
62,إدارة التشغيل,0,0,0,0,0,,
63,الإدارة العامة لإسناد المشتريات والتسليح,0,0,0,0,0,,
64,الإدارة العامة لبرامج المشتريات والتسليح,0,0,0,0,0,,
65,إدارة تخطيط المشتريات والتسليح,0,0,0,0,0,,
66,الإدارة العامة للتخطيط استراتيجي,0,0,0,0,0,,
67,الإدارة العامة للسياسات,0,0,0,0,0,,
68,الإدارة العامة لإدارة الأداء ,0,0,0,0,0,,
69,نائب الـوزيـــر,0,0,0,0,0,,
