so_id,be_id,be_name
SO_01,be_01,رفع الجاهزية العسكرية
SO_01,be_02,رفع كفاءة استخدام القوات
SO_01,be_03,رفع مستوى الأمن والسلامة
SO_01,be_04,تحسين جودة التعليم والتدريب العسكري
SO_01,be_05,تكامل أنظمة الاتصالات
SO_02,be_06,بناء قدرات متخصصة لتعزيز الاستجابة
SO_03,be_07,رفع سرعة الاستجابة المشتركة
SO_03,be_08,زيادة القدرة على التصدي للتهديدات بشكل مبكر
SO_04,be_09,استدامة واستمرارية أعمال الوزارة بشكل مؤسسي
SO_04,be_10,حماية بيانات الوزارة والوقاية من الهجمات السيبرانية
SO_04,be_11,زيادة الكفاءة لمختلف الأنشطة الوظيفية الرئيسية في الوزارة
SO_05,be_12,رفع انتاجية الموظفين
SO_06,be_13,تحسين النتائج الصحية للمستفيدين
SO_06,be_14,تحسين وصول المستفيدين للخدمات الصحية
SO_06,be_15,رفع جودة رعاية المريض
SO_06,be_16,رفع جودة التعليم والبحث والابتكار
SO_06,be_17,تحقيق الاستدامة المالية
SO_06,be_18,رفع الانتماء والارتباط الوظيفي لموظفي الشؤون الصحية 
SO_07,be_19,رفع نسبة المحتوى المحلي في الإنفاق العسكري
SO_07,be_20,تأمين سلاسل الأمداد محلياً
SO_07,be_21,خلق وظائف ذات جودة عالية
SO_08,be_22,الولاءوالانتماء للوزارة
SO_08,be_23,سمعة الوزارة
