in_id_upstream,in_id_downstream,dependency_type
SO.3.8,SO.3.21,end to stert
SO.3.8,SO.1.11,end to stert
SO.3.8,SO.3.6,end to stert
SO.3.8,SO.3.30,end to stert
SO.3.8,SO.1.13,end to stert
SO.3.8,SO.2.7,end to stert
SO.3.8,SO.3.33,end to stert
SO.3.8,SO.1.8,end to stert
SO.3.8,SO.3.24,end to stert
SO.3.8,SO.3.27,end to stert
SO.3.8,SO.2.12,end to stert
SO.3.8,SO.3.12,end to stert
SO.3.8,SO.1.17,end to stert
SO.3.8,SO.3.34,end to stert
SO.3.8,SO.1.15,end to stert
SO.3.8,SO.8.30,end to stert
SO.3.8,SO.1.56,end to stert
SO.3.20,SO.3.28,end to stert
SO.3.20,SO.3.21,end to stert
SO.3.20,SO.3.24,end to stert
SO.3.12,SO.3.8,start to end
SO.3.56,SO.3.140,end to stert
SO.3.56,SO.3.57,end to stert
SO.3.56,SO.3.62,end to stert
SO.3.56,SO.3.58,end to stert
SO.3.62,SO.3.52,end to stert
SO.3.62,SO.3.51,end to stert
SO.3.62,SO.3.45,end to stert
SO.3.62,SO.1.51,end to stert
SO.3.62,SO.3.140,end to stert
SO.3.7,SO.3.26,end to stert
SO.3.7,SO.3.11,end to stert
SO.3.7,SO.3.155,end to stert
SO.3.7,SO.3.20,end to stert
SO.3.6,SO.3.26,end to stert
SO.3.6,SO.3.11,end to stert
SO.5.4,SO.5.5,end to stert
SO.5.4,SO.3.144,end to stert
SO.3.133.1,SO.3.133,end to stert
SO.3.133.1,SO.3.132,end to stert
SO.3.140,SO.3.55,end to stert
SO.3.140,SO.3.59,end to stert
SO.3.21,SO.3.37,end to stert
SO.3.21,SO.1.9,end to stert
SO.1.19,SO.3.39,end to stert
SO.1.19,SO.3.45,end to stert
SO.3.39,SO.3.48,end to stert
SO.3.39,SO.3.43,end to stert
SO.3.39,SO.3.40,end to stert
SO.3.10,SO.3.35,end to stert
SO.3.10,SO.1.13,end to stert
SO.1.22,SO.1.20,end to stert
SO.1.9,SO.1.58,end to stert
SO.C.1.1,SO.C.1.2,end to stert
SO.C.2,SO.C.2.2,end to stert
SO.C.1.2,SO.C.1.3,end to stert
SO.1.18,SO.1.10,end to stert
SO.3.122,SO.3.123,end to stert
SO.3.63,SO.3.60,end to stert
SO.3.57,SO.3.52,end to stert
SO.4.11,SO.4.1,end to stert
SO.3.52,SO.3.54,end to stert
SO.3.124,SO.1.22,end to stert
SO.3.47,SO.3.47.1,end to stert
SO.2.7,SO.1.12,end to stert
SO.2.7,SO.7.1,end to stert
SO.1.12,SO.3.49,end to stert
SO.3.157,SO.4.11,end to stert
SO.3.19,SO.3.25,end to stert
SO.5.7,SO.3.144,end to stert
SO.1.10,SO.2.2,end to stert
SO.3.58,SO.1.23,end to stert
SO.3.55,SO.3.53,end to stert
SO.3.30,SO.3.31,end to stert
SO.3.48,SO.3.49,end to stert
SO.3.24,SO.3.36,end to stert
SO.3.56,SO.3.140,start to end
SO.3.8,SO.3.21,start to end
SO.1.19,SO.3.39,start to end
SO.3.56,SO.3.57,start to end
SO.3.62,SO.3.52,start to end
SO.2.7,SO.1.12,start to end
SO.3.39,SO.3.48,start to end
SO.3.8,SO.3.24,start to end
SO.5.7,SO.3.144,start to end
SO.3.39,SO.3.43,start to end
SO.3.62,SO.3.45,start to end
SO.3.39,SO.3.40,start to end
SO.3.48,SO.3.49,start to end
SO.3.7,SO.3.26,start to end
SO.3.7,SO.3.11,start to end
SO.3.30,SO.3.31,start to end
SO.3.8,SO.1.13,start to end
SO.3.10,SO.3.35,start to end
SO.2.7,SO.7.1,start to end
SO.3.24,SO.3.36,start to end
SO.3.62,SO.3.56,start to end
SO.3.20,SO.3.8,start to end
SO.3.57,SO.3.62,start to end
SO.5.4,SO.5.7,start to end
SO.1.19,SO.3.62,start to end
SO.1.12,SO.3.48,start to end
SO.3.6,SO.3.7,start to end
SO.3.10,SO.3.8,start to end
SO.3.7,SO.3.20,start to end
SO.3.56,SO.3.62,start to end
SO.3.62,SO.3.140,start to end
SO.3.20,SO.3.21,start to end
SO.3.124,SO.1.22,start to end
SO.3.21,SO.1.9,start to end
SO.C.1.1,SO.C.1.2,start to end
SO.3.57,SO.3.52,start to end
SO.1.18,SO.1.10,start to end
SO.3.56,SO.3.58,start to end
SO.3.140,SO.3.55,start to end
SO.3.20,SO.3.24,start to end
SO.3.8,SO.3.12,start to end
SO.3.8,SO.1.17,start to end
SO.3.20,SO.3.28,start to end
SO.3.8,SO.3.34,start to end
SO.3.8,SO.1.15,start to end
SO.1.22,SO.1.20,start to end
SO.1.9,SO.1.58,start to end
SO.C.2,SO.C.2.2,start to end
SO.C.1.2,SO.C.1.3,start to end
SO.5.4,SO.5.5,start to end
SO.3.133.1,SO.3.133,start to end
SO.3.133.1,SO.3.132,start to end
SO.3.122,SO.3.123,start to end
SO.3.63,SO.3.60,start to end
SO.4.11,SO.4.1,start to end
SO.5.4,SO.3.144,start to end
SO.3.52,SO.3.54,start to end
SO.1.19,SO.3.45,start to end
SO.1.12,SO.3.49,start to end
SO.3.140,SO.3.59,start to end
SO.3.6,SO.3.26,start to end
SO.3.6,SO.3.11,start to end
SO.3.47,SO.3.47.1,start to end
SO.3.10,SO.1.13,start to end
SO.3.8,SO.8.30,start to end
SO.3.8,SO.1.56,start to end
